"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","870","91","348","86","522","99",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","880","100","369","76","511","99",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","773","131","170","43","603","127",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","2690","336","539","163","2151","364",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","2962","302","946","302","2016","306",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","1831","153","387","116","1444","192",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","2186","195","576","159","1610","223",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","1427","168","798","167","629","115",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","610","77","350","67","260","49",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","781","90","408","86","373","72",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","710","88","472","83","238","67",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","889","106","608","108","281","66",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","1497","154","697","146","800","171",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","1623","148","735","143","888","116",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","2036","143","981","178","1055","144",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","1800","281","512","109","1288","283",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","1395","158","346","85","1049","157",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","4821","439","1692","320","3129","456",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","2045","233","243","67","1802","239",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","2950","289","828","189","2122","337",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","938","68","511","65","427","72",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","1378","140","330","77","1048","152",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","2645","251","1004","212","1641","253",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","1856","250","688","185","1168","228",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","1160","102","82","50","1078","105",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","2132","297","629","167","1503","308",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","1683","186","650","178","1033","163",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","1558","154","716","109","842","148",
